id;author;author_name;tk_id;views;hearts;comments;shares;created_date;tags;duration;music;music_url;post_url;local_download_path;local_edit_path;claimed;uploaded;last_update;is_downloaded
@leorsaghian5_6856594764410653957;leorsaghian5;;;91.2;0;0;0;0;leorsaghian5|fyp|SummerDIY|InMyAEJeans|CloudBread|lovestory|taylorswift;11;Love Story;;https://tiktok.com/@leorsaghian5/video/6856594764410653957;./downloaded/downloads\@leorsaghian5_6856594764410653957.mp4;;0;1;19-06-2021T18:39:56;0
@alliesparks_6901888901036756230;alliesparks;;;229.7;0;0;0;0;alliesparks|married|pranks|foryou|fyp;59;Monkeys Spinning Monkeys;;https://tiktok.com/@alliesparks/video/6901888901036756230;./downloaded/downloads\@alliesparks_6901888901036756230.mp4;;1;0;19-06-2021T18:39:56;0
@cayladiane94_6917372597252459781;cayladiane94;;;164.8;0;0;0;0;cayladiane94|drink|shots|summertime|fyp;30;Drink (Dirty Extended);;https://tiktok.com/@cayladiane94/video/6917372597252459781;./downloaded/downloads\@cayladiane94_6917372597252459781.mp4;;1;0;19-06-2021T18:39:56;0
@jiraer23_6931461393459809542;jiraer23;;;91.1;0;0;0;0;jiraer23|fyp|foryou|veryfunny|dog|meme|clip;10;SugarCrash!;;https://tiktok.com/@jiraer23/video/6931461393459809542;./downloaded/downloads\@jiraer23_6931461393459809542.mp4;;1;0;19-06-2021T18:39:56;0
@jigpx_6905042838283668742;jigpx;;;101.9;0;0;0;0;jigpx|fyp|animation|3d;10;original sound;;https://tiktok.com/@jigpx/video/6905042838283668742;./downloaded/downloads\@jigpx_6905042838283668742.mp4;;0;1;21-06-2021T00:05:08;0
@whamoscruzz_6934634852042001665;whamoscruzz;;;95.4;0;0;0;0;whamoscruzz|whamos|fyp|trending;35;Heartbreak Anniversary;;https://tiktok.com/@whamoscruzz/video/6934634852042001665;./downloaded/downloads\@whamoscruzz_6934634852042001665.mp4;;1;0;19-06-2021T18:39:56;0
@youneszaro_6887124809755446530;youneszarou;;;160.7;0;0;0;0;youneszarou|yzfamily|tutorial|foryoupage|f_rdich|fyp|yullbeyz;12;Cradles;;https://tiktok.com/@youneszarou/video/6887124809755446530;./downloaded/downloads\@youneszaro_6887124809755446530.mp4;;1;0;19-06-2021T18:39:56;0
@sand.tagious_6858016121933581574;sand.tagious;;;101.4;0;0;0;0;sand.tagious|satisfying|asmr|fyp;32;original sound;;https://tiktok.com/@sand.tagious/video/6858016121933581574;./downloaded/downloads\@sand.tagious_6858016121933581574.mp4;;1;0;19-06-2021T18:39:56;0
@julieb57_6901462333193817349;julieb57;;;125.6;0;0;0;0;julieb57|babypumpitchallenge|fyp|babydorian;15;original sound;;https://tiktok.com/@julieb57/video/6901462333193817349;./downloaded/downloads\@julieb57_6901462333193817349.mp4;;1;0;25-06-2021T07:40:40;0
@dudeperfect_6816330999392161029;dudeperfect;;;129.8;0;0;0;0;dudeperfect|fyp|foryou|dudeperfect|trickshot;12;Lalala;;https://tiktok.com/@dudeperfect/video/6816330999392161029;./downloaded/downloads\@dudeperfect_6816330999392161029.mp4;;1;0;19-06-2021T18:39:56;0
@foodie.beats_6917599459073412354;foodie.beats;;;138.5;0;0;0;0;foodie.beats|chocolate|sweets|sprinkles|cake|tiktokfood|fyp|satisfying|odlysatisfying|chocolatelover|desserts;21;Conga;;https://tiktok.com/@foodie.beats/video/6917599459073412354;./downloaded/downloads\@foodie.beats_6917599459073412354.mp4;;1;1;21-06-2021T00:05:08;0
@gordonramsayofficial_6857635720899693829;gordonramsayofficial;;;98.3;0;0;0;0;gordonramsayofficial|idiotsandwich|ramsayreacts|fyp;14;Rags2Riches (feat. ATR Son Son);;https://tiktok.com/@gordonramsayofficial/video/6857635720899693829;./downloaded/downloads\@gordonramsayofficial_6857635720899693829.mp4;;1;0;19-06-2021T18:39:56;0
@mgtenazas_6766131573898136838;mgtenazas;;;119.7;0;0;0;0;mgtenazas|fyp|foryou|sonevajani|maldives|tiktoktravel|travel|luxury;34;original sound;;https://tiktok.com/@mgtenazas/video/6766131573898136838;./downloaded/downloads\@mgtenazas_6766131573898136838.mp4;;0;1;19-06-2021T18:39:56;0
@officialsaliceros_6800818327896820998;officialsalicerose;;;99.9;0;0;0;0;officialsalicerose|fyp;18;original sound;;https://tiktok.com/@officialsalicerose/video/6800818327896820998;./downloaded/downloads\@officialsaliceros_6800818327896820998.mp4;;1;0;19-06-2021T18:39:56;0
@designhouse.olivi_6925689471962746117;designhouse.olivia;;;108.8;0;0;0;0;designhouse.olivia|room|fyp|foryou|design|designhouse|hometour;14;Hold On;;https://tiktok.com/@designhouse.olivia/video/6925689471962746117;./downloaded/downloads\@designhouse.olivi_6925689471962746117.mp4;;1;0;19-06-2021T18:39:56;0
@yueli51_6905721488943451397;yueli51;;;113.7;0;0;0;0;yueli51|diy|phoneshell|foryou|phonecover|foryou|lovely|fyp;29;Drugs (feat. Two Feet);;https://tiktok.com/@yueli51/video/6905721488943451397;./downloaded/downloads\@yueli51_6905721488943451397.mp4;;1;0;19-06-2021T18:39:56;0
@ox_zung_6952136491355098369;ox_zung;;;103.7;0;0;0;0;ox_zung|_i2_|fyp|viral|xyzbca|korean|_;11;_- _WonJeong;;https://tiktok.com/@ox_zung/video/6952136491355098369;./downloaded/downloads\@ox_zung_6952136491355098369.mp4;;0;1;21-06-2021T00:05:08;0
@taras.tolstikov_6957277807219068165;taras.tolstikov;;;121.0;0;0;0;0;taras.tolstikov|fyp|art|charcoaldrawing|viral|drawingprocess|portrait|queer|artprogress|CallMeByYourName|N_|nfts|nftartworkcrypto;59;original sound;;https://tiktok.com/@taras.tolstikov/video/6957277807219068165;./downloaded/downloads\@taras.tolstikov_6957277807219068165.mp4;;0;1;23-06-2021T03:32:24;0
@dimp_7_6825256462269402369;dimp_7;;;147.1;0;0;0;0;dimp_7|fyp|likeforlike;13;original sound - George ;;https://tiktok.com/@dimp_7/video/6825256462269402369;./downloaded/downloads\@dimp_7_6825256462269402369.mp4;;1;0;19-06-2021T18:39:56;0
@fitness.samk_6942899980390649090;fitness.samka;;;172.4;0;0;0;0;fitness.samka|foryou|fyp|reaction;21;Astronaut In The Ocean;;https://tiktok.com/@fitness.samka/video/6942899980390649090;./downloaded/downloads\@fitness.samk_6942899980390649090.mp4;;1;0;19-06-2021T18:39:56;0
@fitness.samk_6942937225705311490;fitness.samka;;;126.3;0;0;0;0;fitness.samka|foryou|fyp|reaction;21;"Boom, Boom, Boom, Boom!!";;https://tiktok.com/@fitness.samka/video/6942937225705311490;./downloaded/downloads\@fitness.samk_6942937225705311490.mp4;;1;0;19-06-2021T18:39:56;0
@.epic_moments_6955847075842067717;.epic_moments_;;;91.7;0;0;0;0;.epic_moments_|respectfypf_rdichLiveForTheChallenge|bosslikeabosSwtfskillamazingbossviral;14;_3_"N_1 _2N_;;https://tiktok.com/@.epic_moments_/video/6955847075842067717;./downloaded/downloads\@.epic_moments_6955847075842067717.mp4;;0;1;19-06-2021T18:39:56;0
@crushinit_6769991065081515270;crushinit;;;96.1;0;0;0;0;crushinit|finalsweek|fyp|satisfying;15;ROXANNE;;https://tiktok.com/@crushinit/video/6769991065081515270;./downloaded/downloads\@crushinit_6769991065081515270.mp4;;1;0;19-06-2021T18:39:56;0
@azchpn_6876395213879921921;azchpn;;;91.4;0;0;0;0;azchpn|poodle|fyp|dogsoftiktok|foryourpage|c_";21;_"_2 - Panna;;https://tiktok.com/@azchpn/video/6876395213879921921;./downloaded/downloads\@azchpn_6876395213879921921.mp4;;1;0;19-06-2021T18:39:56;0
@joshuamonis_6939836180620004613;joshuamonis;;;95.0;0;0;0;0;joshuamonis|spa|spanight|spanightroutine|skincare|routine|hygiene|viral|foryou|fyp;56;You Got It;;https://tiktok.com/@joshuamonis/video/6939836180620004613;./downloaded/downloads\@joshuamonis_6939836180620004613.mp4;;1;0;19-06-2021T18:39:56;0
@wonguy_6785814499849997574;wonguy;;;91.9;0;0;0;0;wonguy|fail|bts|eiffeltower|paris|fyp|pourtoi|tiktokfrance|prank;12;No Idea X Candy;;https://tiktok.com/@wonguy/video/6785814499849997574;./downloaded/downloads\@wonguy_6785814499849997574.mp4;;0;1;21-06-2021T00:05:08;0
