video_id;author;views;hearts;comments;shares;post_url;upload_date
@lopwert_6975940059858046214;lopwert;11.2;2.5;17.7;31.0;https://tiktok.com/@lopwert/video/6975940059858046214;21-06-2021T01:10:17
@calebbrunick_6938305694881811717;calebbrunick;14.3;2.4;6.5;12.6;https://tiktok.com/@calebbrunick/video/6938305694881811717;11-03-2021T15:09:52
@mik.zenon_6885157134758055169;mik.zenon;9.5;2.4;7.7;61.2;https://tiktok.com/@mik.zenon/video/6885157134758055169;19-10-2020T09:46:10
@lhountras_6961363624254278918;lhountras;8.1;1.4;4.1;28.5;https://tiktok.com/@lhountras/video/6961363624254278918;12-05-2021T18:26:21
@giftuniverse_6930325367651585286;giftuniverse;17.8;1.4;7.5;13.1;https://tiktok.com/@giftuniverse/video/6930325367651585286;18-02-2021T03:02:05
@kcisfunny_6955511339011853573;kcisfunny;5.9;1.2;11.1;1.9;https://tiktok.com/@kcisfunny/video/6955511339011853573;26-04-2021T23:56:25
@kitchentiktoking_6954301759934205189;kitchentiktoking;15.4;1.0;5.0;19.2;https://tiktok.com/@kitchentiktoking/video/6954301759934205189;23-04-2021T17:42:44
@goodtastemustbuy_6936592217427512582;goodtastemustbuy;5.6;1.0;11.5;125.6;https://tiktok.com/@goodtastemustbuy/video/6936592217427512582;07-03-2021T00:20:34
@maxieelise_6922652190163209477;maxieelise;5.8;0.7;1.0;13.8;https://tiktok.com/@maxieelise/video/6922652190163209477;28-01-2021T10:46:27
@kaylamalaysia_6970087006005251334;kaylamalaysia;3.9;0.6;0.9;14.5;https://tiktok.com/@kaylamalaysia/video/6970087006005251334;05-06-2021T06:37:28
@amazondiscountpromos_6931841608706952453;amazondiscountpromos;2.2;0.6;1.1;1.2;https://tiktok.com/@amazondiscountpromos/video/6931841608706952453;22-02-2021T05:05:54
@avaihawkins_6948303124859735302;avaihawkins;2.0;0.5;3.2;8.5;https://tiktok.com/@avaihawkins/video/6948303124859735302;07-04-2021T13:44:59
@kelseyvenkov_6932938061357583622;kelseyvenkov;3.6;0.5;3.3;21.0;https://tiktok.com/@kelseyvenkov/video/6932938061357583622;25-02-2021T04:00:42
@rebekah_fagan_6961491108719234310;rebekah_fagan;3.0;0.5;1.5;6.0;https://tiktok.com/@rebekah_fagan/video/6961491108719234310;13-05-2021T02:40:59
